Module	Observed_DEGs	Expected_DEGs	Fold_Change	Fisher_Test
0	86	168.20105820105817	0.5112928593897453	3.46024361934503e-11
1	187	208.13114134542707	0.898471986417657	0.577683802570355
2	99	152.79440665154954	0.6479294770637208	3.988920476779841e-05
3	149	130.60317460317458	1.1408604764219739	0.009547837706711795
4	109	101.7687074829932	1.0710561497326203	0.12482573830560571
5	104	88.76492819349961	1.1716339112367589	0.016381825125597167
6	115	70.31934996220711	1.6353962324993951	3.089874877752045e-09
7	73	58.94104308390022	1.2385257569345596	0.012838485033949786
8	33	34.2055933484505	0.9647544968400581	0.8529326414956879
9	16	30.742630385487526	0.5204499354600775	0.010909591133947174
10	42	24.80612244897959	1.6931303990127522	0.0001923756481954434
11	25	24.382086167800452	1.0253429435015113	0.5852326293424983
12	43	22.827286470143612	1.8837105345937981	1.2297317709028498e-05
13	17	17.03212396069539	0.998113919275745	0.7934708682104115
14	7	14.982615268329553	0.4672081525577641	0.05101752853008783
15	83	14.770597127739984	5.61927180615613	2.0704876684376165e-43
16	2	13.993197278911566	0.14292659212445308	0.00025647338546495575
17	7	13.85185185185185	0.5053475935828878	0.10937963919093491
18	4	13.85185185185185	0.2887700534759359	0.005606043821439834
19	34	12.367724867724867	2.749090909090909	1.1299612657158828e-08
20	3	12.085034013605444	0.24824092316352375	0.005143607319578589
21	1	11.095616024187452	0.09012568547975068	0.0005217475727787939
22	5	11.024943310657596	0.45351707116413	0.10328137129652393
23	11	10.742252456538171	1.0239938080495357	0.7417290442328166
24	10	10.035525321239607	0.9964600436845673	0.7359532378399462
25	4	9.682161753590325	0.4131308794254264	0.08451537120670391
26	7	9.116780045351474	0.7678149483895038	0.722916236519963
27	9	8.551398337112625	1.0524594510982452	0.7114700118887515
28	5	8.339380196523054	0.5995649415390193	0.45329039245292213
29	42	8.268707482993198	5.079391197038255	1.3537269492200998e-20
30	8	8.268707482993198	0.9675030851501438	0.8516443729294689
31	4	7.773998488284203	0.5145357316480311	0.2510357209719622
32	11	7.773998488284203	1.4149732620320854	0.17248734200347443
33	5	7.491307634164777	0.667440217939663	0.5573610466078224
34	6	7.279289493575209	0.8242562691449041	1.0
35	0	7.279289493575209	0.0	0.002013331420217154
36	3	6.996598639455783	0.42877977637335923	0.21874591859733786
37	4	6.572562358276644	0.6085906503363808	0.527841200946671
38	5	5.86583522297808	0.8523935313446298	1.0
39	7	5.653817082388511	1.2381016042780748	0.3705363790327534
40	1	5.30045351473923	0.18866310160427804	0.06257052043996465
41	5	4.947089947089947	1.0106951871657754	0.807742660707115
42	1	4.87641723356009	0.20506858870030226	0.08959785890531406
43	0	4.4523809523809526	0.0	0.021347404392153227
44	0	4.381708238851095	0.0	0.0343157648249485
45	3	4.169690098261527	0.7194779298468231	1.0
46	0	4.028344671201814	0.0	0.032120176411463267
47	0	4.028344671201814	0.0	0.032120176411463267
48	2	3.5336356764928194	0.5659893048128343	0.7721759767455155
49	5	3.4629629629629624	1.4438502673796794	0.25561105465985934
50	6	3.32161753590325	1.8063488451473433	0.12757409582382384
51	1	3.1802721088435373	0.3144385026737968	0.3667807714276152
52	6	3.109599395313681	1.9295089936801166	0.06761693134907534
53	29	3.0389266817838245	9.542842929983832	1.4398812848061489e-24
54	3	2.968253968253968	1.0106951871657754	0.7555841453040962
55	5	2.8975812547241118	1.7255771488196165	0.19178052234245743
56	2	2.8975812547241118	0.6902308595278467	1.0
57	1	2.8269085411942556	0.35374331550802135	0.5188298705614031
58	1	2.685563114134543	0.37236138474528563	0.5152245498899857
59	0	2.685563114134543	0.0	0.17729426988191074
60	9	2.5442176870748296	3.5374331550802145	0.0004291099733346975
61	3	2.5442176870748296	1.179144385026738	0.5128937619541345
62	1	2.4735449735449735	0.4042780748663102	0.7275332850549319
63	2	2.4735449735449735	0.8085561497326204	1.0
64	1	2.4735449735449735	0.4042780748663102	0.7275332850549319
65	0	2.4028722600151173	0.0	0.16837545986491834
66	2	2.2615268329554046	0.8843582887700534	1.0
67	1	2.1201814058956914	0.47165775401069526	0.7197272002362867
68	0	1.9081632653061227	0.0	0.25704977389908706
69	7	1.9081632653061227	3.668449197860962	0.0014807404800709532
70	6	1.7668178382464097	3.3959358288770054	0.0048830840697155495
71	0	1.6961451247165533	0.0	0.40268095571632534
72	6	1.6961451247165533	3.537433155080214	0.003927203698887372
73	1	1.625472411186697	0.6152057661009067	1.0
74	0	1.625472411186697	0.0	0.3990613870013765
75	0	1.5547996976568406	0.0	0.3968025988333751
76	0	1.484126984126984	0.0	0.39603618171784244
77	1	1.484126984126984	0.6737967914438503	1.0
